name,edition,condition,language,price_eur,quantity,seller
Plegaria vinculante,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Caballero de la meseta,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Canción de amor de la noche y el día,Dominaria Unida,NM,Inglés,0.34,8,Mazvigosl
Caballero de la luz del alba,Dominaria Unida,NM,Inglés,0.4,8,Mazvigosl
Fuerzas unidas,Dominaria Unida,NM,Inglés,0.35,8,Mazvigosl
Carga heroica,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Grifo protector,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Caballero celeste de la Coalición,Dominaria Unida,NM,Inglés,0.35,8,Mazvigosl
Puente levadizo mecánico,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Jinete celeste carnicero,Dominaria Unida,NM,Inglés,0.45,8,Mazvigosl
Arresto del ciudadano,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Llamada del capitán,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Vinculador de fe benalita,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Descarga de artillería,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Falange argiviana,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Caballero argiviana,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Arena de la Fortaleza,Dominaria Unida,NM,Inglés,0.22,8,Mazvigosl
Impulso,Dominaria Unida,NM,Inglés,0.35,8,Mazvigosl
Entusiasmo ante la posibilidad,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl
Arrastrar a las profundidades,Dominaria Unida,NM,Inglés,0.22,4,Mazvigosl
Instigadora de Radha,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl
Bastión andante,Dominaria Unida,NM,Inglés,0.22,8,Mazvigosl
Hacha del vencedor,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
Meteorito,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
Códice de Jodah,Dominaria Unida,NM,Inglés,0.3,8,Mazvigosl
Herencia del héroe,Dominaria Unida,NM,Inglés,0.21,8,Mazvigosl
Bibliotecario autómata,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
