name,edition,condition,language,price_eur,quantity
Arrastrar a las profundidades,Dominaria Unida,NM,Inglés,0.22,4
Instigadora de Radha,Dominaria Unida,NM,Inglés,0.2,8
Bastión andante,Dominaria Unida,NM,Inglés,0.22,8
Hacha del vencedor,Dominaria Unida,NM,Inglés,0.14,8
Meteorito,Dominaria Unida,NM,Inglés,0.14,8
Códice de Jodah,Dominaria Unida,NM,Inglés,0.3,8
Herencia del héroe,Dominaria Unida,NM,Inglés,0.21,8
Bibliotecario autómata,Dominaria Unida,NM,Inglés,0.14,8
"Zar Ojanen, hija de Efrava",Dominaria Unida,NM,Inglés,0.22,8
"Vohar, profanador vodaliano",Dominaria Unida,NM,Inglés,0.22,8
"Uurg, engendro de Turg",Dominaria Unida,NM,Inglés,0.14,8
"Tura Kennerüd, caballero celeste",Dominaria Unida,NM,Inglés,0.14,8
"Tori D'Avenant, jinete de furia",Dominaria Unida,NM,Inglés,0.21,8
"Tatyova, sirviente de las mareas",Dominaria Unida,NM,Inglés,0.14,8
"Sol'kanar, el Corrompido",Dominaria Unida,NM,Inglés,0.4,4
"Rulik Mons, jefa del barracón",Dominaria Unida,NM,Inglés,0.14,8
"Raff, partidario del Vientoligero",Dominaria Unida,NM,Inglés,0.14,8
"Radha, señora guerrera de la Coalición",Dominaria Unida,NM,Inglés,0.14,8
"Najal, el Corredor de Tormentas",Dominaria Unida,NM,Inglés,0.14,8
"Nael, aeronauta de avizoas",Dominaria Unida,NM,Inglés,0.14,8
"Lagomos, mano del odio",Dominaria Unida,NM,Inglés,0.24,8
Bortuk Sonahuesos,Dominaria Unida,NM,Inglés,0.14,8
"Baird, reclutador argiviano",Dominaria Unida,NM,Inglés,0.22,8
Transeúnte de Yavimaya,Dominaria Unida,NM,Inglés,0.14,8
Iconoclasta de Yavimaya,Dominaria Unida,NM,Inglés,0.14,8
El tratado de Semillaclima,Dominaria Unida,NM,Inglés,0.21,8
Prodigio moldeaenredaderas,Dominaria Unida,NM,Inglés,0.14,8
Amenazas no advertidas,Dominaria Unida,NM,Inglés,0.4,5
Maro territorial,Dominaria Unida,NM,Inglés,0.14,8
Raizguana al sol,Dominaria Unida,NM,Inglés,0.24,8
Fuerza de la Coalición,Dominaria Unida,NM,Inglés,0.14,8
Tejetrampas,Dominaria Unida,NM,Inglés,0.14,8
Inspección de Pies de Fango,Dominaria Unida,NM,Inglés,0.14,8
Explorar lo salvaje,Dominaria Unida,NM,Inglés,0.14,8
Ancestro barbamusgosa,Dominaria Unida,NM,Inglés,0.14,8
Centinela mágnigoth,Dominaria Unida,NM,Inglés,0.14,8
Viuda verde de Llanowar,Dominaria Unida,NM,Inglés,0.21,8
Báloth rompelíneas,Dominaria Unida,NM,Inglés,0.14,8
Tortuga suprimemaleficios,Dominaria Unida,NM,Inglés,0.14,8
Poderío de Gaia,Dominaria Unida,NM,Inglés,0.14,8
Hidromante élfica,Dominaria Unida,NM,Inglés,0.14,8
Sierpe del elfhogar,Dominaria Unida,NM,Inglés,0.14,8
Aerocapellán,La Guerra de los Hermanos,NM,Inglés,0.12,8
Precipitador de la emboscada,La Guerra de los Hermanos,NM,Inglés,0.12,8
Secuelas de la calamidad,La Guerra de los Hermanos,NM,Inglés,0.2,8
Secuelas de la calamidad,La Guerra de los Hermanos,NM,Inglés,0.25,8
Contragolpe mortal,La Guerra de los Hermanos,NM,Inglés,0.2,8
Minero del Gran Desierto,La Guerra de los Hermanos,NM,Inglés,0.12,8
"Loran, discípula de la historia",La Guerra de los Hermanos,NM,Inglés,0.22,8
"Loran, discípula de la historia",La Guerra de los Hermanos,NM,Inglés,0.2,8
Meticulous Excavation,La Guerra de los Hermanos,NM,Inglés,0.12,8
Meticulous Excavation,La Guerra de los Hermanos,NM,Inglés,0.14,8
Disciplina militar,La Guerra de los Hermanos,NM,Inglés,0.12,8
Vanguardia de la falange,La Guerra de los Hermanos,NM,Inglés,0.12,8
Ingeniero de piedras de poder,La Guerra de los Hermanos,NM,Inglés,0.12,8
Pena de prisión,La Guerra de los Hermanos,NM,Inglés,0.12,8
Reutilizar,La Guerra de los Hermanos,NM,Inglés,0.35,8
Reparar y recargar,La Guerra de los Hermanos,NM,Inglés,0.12,8
Reparar y recargar,La Guerra de los Hermanos,NM,Inglés,0.14,8
Red estática,La Guerra de los Hermanos,NM,Inglés,0.13,8
Red estática,La Guerra de los Hermanos,NM,Inglés,0.12,8
Superviviente de Korlis,La Guerra de los Hermanos,NM,Inglés,0.12,8
Arquitecta de tópteros,La Guerra de los Hermanos,NM,Inglés,0.12,8
Élite del señor guerrero,La Guerra de los Hermanos,NM,Inglés,0.12,8
Ensamblador autónomo,La Guerra de los Hermanos,NM,Inglés,0.21,1
Trilladora de combate,La Guerra de los Hermanos,NM,Inglés,0.2,8
Trilladora de combate,La Guerra de los Hermanos,NM,Inglés,0.22,6
Organizar,La Guerra de los Hermanos,NM,Inglés,0.2,8
Desmontar,La Guerra de los Hermanos,NM,Inglés,0.2,8
Desincronizar,La Guerra de los Hermanos,NM,Inglés,0.12,8
Flujo de conocimiento,La Guerra de los Hermanos,NM,Inglés,0.2,8
Última meditación de Hurkyl,La Guerra de los Hermanos,NM,Inglés,0.23,5
